title,author,stars,reviews,category_id,publishedDate,category_name
The Forgotten Girls: A Memoir of Friendship and Lost Promise in Rural America,Monica Potts,4.3,346,9,2023-05-30,Biographies & Memoirs
Unscripted: The Epic Battle for a Media Empire and the Redstone Family Legacy,James B Stewart,4.2,750,9,2023-02-14,Biographies & Memoirs
"Woke, Inc.: Inside Corporate America's Social Justice Scam",Vivek Ramaswamy,4.7,3644,9,2021-08-17,Biographies & Memoirs
The Trump Indictments: The 91 Criminal Counts Against the Former President of the United States,Ali Velshi,4.1,6,9,2023-09-25,Biographies & Memoirs
Playin' Possum: My Memories of George Jones,Nancy Jones,4.6,42,9,2023-09-12,Biographies & Memoirs
My Friend Anne Frank: The Inspiring and Heartbreaking True Story of Best Friends Torn Apart and Reunited Against All Odds,Hannah Pick-Goslar,4.8,678,9,2023-06-06,Biographies & Memoirs
Young Queens: Three Renaissance Women and the Price of Power,Leah Redmond Chang,4.8,37,9,2023-08-15,Biographies & Memoirs
How to Be an Antiracist,Ibram X. Kendi,4.7,28542,9,2019-08-13,Biographies & Memoirs
Life Support: Surviving Guillain-Barre Syndrome - A Mother's Story of Hope and Recovery,Holly Frances,4.6,474,9,2023-01-15,Biographies & Memoirs
"Dead in the Water: A True Story of Hijacking, Murder, and a Global Maritime Conspiracy",Matthew Campbell,4.4,1167,9,2022-05-03,Biographies & Memoirs
Code Name Blue Wren: The True Story of America's Most Dangerous Female Spy—and the Sister She Betrayed,Jim Popkin,4.3,777,9,2023-01-03,Biographies & Memoirs
Talking to My Angels,Melissa Etheridge,4.5,44,9,2023-09-05,Biographies & Memoirs
"God, Human, Animal, Machine: Technology, Metaphor, and the Search for Meaning",Meghan O'Gieblyn,4.6,393,9,2021-08-24,Biographies & Memoirs
Uncultured: A Memoir,Daniella Mestyanek Young,4.6,464,9,2022-09-20,Biographies & Memoirs
"Endure: How to Work Hard, Outlast, and Keep Hammering",Cameron R. Hanes,4.7,2774,9,2022-05-17,Biographies & Memoirs
Courage under Fire: Under Siege and Outnumbered 58 to 1 on January 6,Steven A. Sund,4.5,340,9,2023-01-03,Biographies & Memoirs
"There Will Be Fire: Margaret Thatcher, the IRA, and Two Minutes That Changed History",Rory Carroll,4.5,266,9,2023-04-04,Biographies & Memoirs
The Last Hill: The Epic Story of a Ranger Battalion and the Battle That Defined WWII,Bob Drury,4.6,508,9,2022-11-01,Biographies & Memoirs
Shanda: A Memoir of Shame and Secrecy,Letty Cottin Pogrebin,4.2,423,9,2022-09-13,Biographies & Memoirs
"Confessions of an Economic Hit Man, 3rd Edition",John Perkins,4.7,123,9,2023-02-28,Biographies & Memoirs
Traitor King: The Scandalous Exile of the Duke & Duchess of Windsor,Andrew Lownie,4.1,1041,9,2022-07-05,Biographies & Memoirs
Tracers in the Dark: The Global Hunt for the Crime Lords of Cryptocurrency,Andy Greenberg,4.7,705,9,2022-11-15,Biographies & Memoirs
Bombshell: The Night Bobby Kennedy Killed Marilyn Monroe,Mike Rothmiller,4.4,2262,9,2022-05-02,Biographies & Memoirs
Not All Diamonds and Rosé: The Inside Story of The Real Housewives from the People Who Lived It,Dave Quinn,4.4,4538,9,2021-10-19,Biographies & Memoirs
House of Tudor: A Grisly History,Mickey Mayhew,4.2,139,9,2023-04-04,Biographies & Memoirs
The Six Wives of Henry VIII,Alison Weir,4.5,3678,9,2018-11-20,Biographies & Memoirs
Strip Tees: A Memoir of Millennial Los Angeles,Kate Flannery,4.0,125,9,2023-07-18,Biographies & Memoirs
Sandworm: A New Era of Cyberwar and the Hunt for the Kremlin's Most Dangerous Hackers,Andy Greenberg,4.7,2838,9,2019-11-05,Biographies & Memoirs
"Ninth Street Women: Lee Krasner, Elaine de Kooning, Grace Hartigan, Joan Mitchell, and Helen Frankenthaler: Five Painters and the Movement That Changed Modern Art (LITTLE, BROWN A)",Mary Gabriel,4.7,1199,9,2018-09-25,Biographies & Memoirs
Anne Boleyn & Elizabeth I: The Mother and Daughter Who Forever Changed British History,Tracy Borman,4.6,231,9,2023-06-20,Biographies & Memoirs
Brazen: My Unorthodox Journey from Long Sleeves to Lingerie,Julia Haart,4.2,2325,9,2022-04-12,Biographies & Memoirs
From The Bronx To Wall Street: My Fifty Years in Finance and Philanthropy,Leon Cooperman,4.4,22,9,2023-08-07,Biographies & Memoirs
Inside Out: A Memoir,Demi Moore,4.5,13826,9,2019-09-24,Biographies & Memoirs
Yearbook,Seth Rogen,4.6,8049,9,2021-05-11,Biographies & Memoirs
Hero of Two Worlds: The Marquis de Lafayette in the Age of Revolution,Mike Duncan,4.8,1162,9,2021-08-24,Biographies & Memoirs
Girl With No Job: The Crazy Beautiful Life of an Instagram Thirst Monster,Claudia Oshry,4.5,3166,9,2021-01-26,Biographies & Memoirs
Acceptance: A Memoir,Emi Nietfeld,4.5,533,9,2022-08-02,Biographies & Memoirs
"To Shake the Sleeping Self: A Journey from Oregon to Patagonia, and a Quest for a Life with No Regret",Jedidiah Jenkins,4.5,3252,9,2018-10-02,Biographies & Memoirs
Extreme Punishment: The Chilling True Story of Acclaimed Law Professor Dan Markel’s Murder,Steven B. Epstein,4.2,806,9,2022-10-09,Biographies & Memoirs
"Hello, Molly!: A Memoir",Molly Shannon,4.6,2661,9,2022-04-12,Biographies & Memoirs
The Girls Who Stepped Out of Line: Untold Stories of the Women Who Changed the Course of World War II (Inspiring Gift for Fans of Women's History Books),Mari Eder,4.4,840,9,2021-08-03,Biographies & Memoirs
West with the Night,Beryl Markham,4.5,7155,9,2022-06-21,Biographies & Memoirs
We Survived the End of the World: Lessons from Native America on Apocalypse and Hope,Steven Charleston,4.8,6,9,2023-09-19,Biographies & Memoirs
The Yellow Pad: Making Better Decisions in an Uncertain World,Robert E. Rubin,3.9,68,9,2023-05-16,Biographies & Memoirs
The Outlier: The Unfinished Presidency of Jimmy Carter,Kai Bird,4.8,252,9,2021-06-15,Biographies & Memoirs
"Take the Lead: Hanging On, Letting Go, and Conquering Life's Hardest Climbs",Sasha DiGiulian,3.6,3,9,2023-09-26,Biographies & Memoirs
"A Burning in My Bones: The Authorized Biography of Eugene H. Peterson, Translator of The Message",Winn Collier,4.8,915,9,2021-03-23,Biographies & Memoirs
Enough Already: Learning to Love the Way I Am Today,Valerie Bertinelli,4.7,6138,9,2022-01-18,Biographies & Memoirs
Who By Fire: Leonard Cohen in the Sinai,Matti Friedman,4.6,335,9,2022-04-05,Biographies & Memoirs
Don't Panic: Douglas Adams & The Hitchhiker's Guide to the Galaxy,Neil Gaiman,4.3,1016,9,2018-10-30,Biographies & Memoirs
Star Trek Memories,William Shatner,4.6,228,9,2023-09-12,Biographies & Memoirs
The Mountbattens: The Lives and Loves of Dickie and Edwina Mountbatten,Andrew Lownie,4.2,1832,9,2021-09-07,Biographies & Memoirs
The Betrayal of Anne Frank: A Cold Case Investigation,Rosemary Sullivan,4.5,1682,9,2023-01-17,Biographies & Memoirs
The Nine: The True Story of a Band of Women Who Survived the Worst of Nazi Germany,Gwen Strauss,4.6,1676,9,2021-05-04,Biographies & Memoirs
T.R.: The Last Romantic,H. W. Brands,4.7,226,9,2019-07-23,Biographies & Memoirs
PRODUCT OF THE ENTANGLEMENT: The Memoir of Ebony Remo,Ebony Remo,5.0,9,9,2023-09-18,Biographies & Memoirs
Lady Caroline Lamb: A Free Spirit,Antonia Fraser,4.1,90,9,2023-06-06,Biographies & Memoirs
Lexington: The Extraordinary Life and Turbulent Times of America's Legendary Racehorse,Kim Wickens,4.7,74,9,2023-07-11,Biographies & Memoirs
The McCartney Legacy: Volume 1: 1969 – 73,Allan Kozinn,4.7,335,9,2022-12-13,Biographies & Memoirs
"In Search of a Kingdom: Francis Drake, Elizabeth I, and the Perilous Birth of the British Empire",Laurence Bergreen,4.3,785,9,2021-03-16,Biographies & Memoirs
Our Migrant Souls: A Meditation on Race and the Meanings and Myths of “Latino”,Héctor Tobar,4.6,32,9,2023-05-09,Biographies & Memoirs
"No Human Contact: Solitary Confinement, Maximum Security, and Two Inmates Who Changed the System",Pete Earley,4.4,128,9,2023-04-25,Biographies & Memoirs
"Last Call: A True Story of Love, Lust, and Murder in Queer New York",Elon Green,4.3,966,9,2021-03-09,Biographies & Memoirs
Murder in the 33rd Degree: The Gagnon Investigation into Vatican Freemasonry,Charles Theodore Murr,4.7,629,9,2022-04-20,Biographies & Memoirs
"Furious Hours: Murder, Fraud, and the Last Trial of Harper Lee",Casey Cep,4.2,3481,9,2019-05-07,Biographies & Memoirs
Last Boat Out of Shanghai: The Epic Story of the Chinese Who Fled Mao's Revolution,Helen Zia,4.6,2070,9,2019-01-22,Biographies & Memoirs
Frozen in Time: The Fate of the Franklin Expedition,Owen Beattie,4.5,614,9,2017-06-11,Biographies & Memoirs
"The Serial Killer’s Sister: From bestselling author of THE SERIAL KILLER’S WIFE comes an edge-of-your-seat, addictive new crime thriller for 2023",Alice Hunter,4.3,644,9,2023-05-11,Biographies & Memoirs
A Chance to Die: The Life and Legacy of Amy Carmichael,Elisabeth Elliot,4.8,612,9,2021-03-16,Biographies & Memoirs
Bad City: Peril and Power in the City of Angels,Paul Pringle,4.5,856,9,2022-07-19,Biographies & Memoirs
"Damaged: After the coma, after the headlines, the story of a family",Janet Smuga,4.2,448,9,2022-06-01,Biographies & Memoirs
Rising Out of Hatred: The Awakening of a Former White Nationalist,Eli Saslow,4.7,2071,9,2018-09-18,Biographies & Memoirs
"The Urgent Life: My Story of Love, Loss, and Survival",Bozoma Saint John,4.7,423,9,2023-02-21,Biographies & Memoirs
Frida: A Biography of Frida Kahlo,Hayden Herrera,4.7,1083,9,2022-10-04,Biographies & Memoirs
Walking Each Other Home: Conversations on Loving and Dying,Ram Dass,4.8,818,9,2018-09-04,Biographies & Memoirs
On Full Automatic: Surviving 13 Months in Vietnam,William V. Taylor Jr.,4.6,3610,9,2021-08-18,Biographies & Memoirs
The Last Stone,Mark Bowden,4.2,2271,9,2019-01-15,Biographies & Memoirs
"Agents of Chaos: Thomas King Forçade, High Times, and the Paranoid End of the 1970s",Sean Howe,5.0,5,9,2023-08-29,Biographies & Memoirs
My Twenty-Five Years in Provence: Reflections on Then and Now,Peter Mayle,4.4,2365,9,2018-06-26,Biographies & Memoirs
"The Dirty Tricks Department: Stanley Lovell, the OSS, and the Masterminds of World War II Secret Warfare",John Lisle,4.1,125,9,2023-03-07,Biographies & Memoirs
"There's Just One Problem...: True Tales from the Former, One-Time, 7th Most Powerful Person in WWE",Brian Gewirtz,4.6,676,9,2022-08-16,Biographies & Memoirs
Dear America: Notes of an Undocumented Citizen,Jose Antonio Vargas,4.6,1755,9,2018-09-18,Biographies & Memoirs
The Curse of Oak Island: The Story of the World's Longest Treasure Hunt,Randall Sullivan,4.6,2950,9,2022-04-12,Biographies & Memoirs
The Annals of a Country Doctor,Carl Matlock,4.4,1105,9,2017-12-10,Biographies & Memoirs
"Killin' Generals: The Making of The Dirty Dozen, the Most Iconic WW II Movie of All Time",Dwayne Epstein,4.5,122,9,2023-04-25,Biographies & Memoirs
Home Work: A Memoir of My Hollywood Years,Julie Andrews,4.6,6597,9,2019-10-15,Biographies & Memoirs
Run Towards the Danger: Confrontations with a Body of Memory,Sarah Polley,4.6,1027,9,2022-03-01,Biographies & Memoirs
The Dark Queens: The Bloody Rivalry That Forged the Medieval World,Shelley Puhak,4.4,496,9,2022-02-22,Biographies & Memoirs
Bully Market: My Story of Money and Misogyny at Goldman Sachs,Jamie Fiore Higgins,4.4,552,9,2022-08-30,Biographies & Memoirs
Bring on the Empty Horses,David Niven,4.4,947,9,2022-07-09,Biographies & Memoirs
Little Weirds,Jenny Slate,4.5,2290,9,2019-11-05,Biographies & Memoirs
Pressure: A Memoir,Eric Canori,4.7,292,9,2022-02-24,Biographies & Memoirs
"Daughters of the Winter Queen: Four Remarkable Sisters, the Crown of Bohemia, and the Enduring Legacy of Mary, Queen of Scots",Nancy Goldstone,4.4,1063,9,2018-04-10,Biographies & Memoirs
A Way Through the Wilderness: The Natchez Trace and the Civilization of the Southern Frontier,William C. Davis,4.0,110,9,2019-06-23,Biographies & Memoirs
"Americana: The Kinks, the Riff, the Road: The Story",Ray Davies,4.4,286,9,2022-11-22,Biographies & Memoirs
"Denial of Justice: Dorothy Kilgallen, Abuse of Power, and the Most Compelling JFK Assassination Investigation in History",Mark William Shaw,4.5,850,9,2018-11-20,Biographies & Memoirs
Bloody Minded: My Life in Cycling,Alex Dowsett,5.0,1,9,2023-09-28,Biographies & Memoirs
1000 Years of Joys and Sorrows: A Memoir,Ai Weiwei,4.6,741,9,2021-11-02,Biographies & Memoirs
To Fly and Fight: Memoirs of a Triple Ace,"Clarence E. ""Bud"" Anderson",4.8,517,9,2017-05-12,Biographies & Memoirs
Famous Father Girl: A Memoir of Growing Up Bernstein,Jamie Bernstein,4.3,561,9,2018-06-12,Biographies & Memoirs
"Three Wise Men: A Navy SEAL, a Green Beret, and How Their Marine Brother Became a War's Sole Survivor",Beau Wise,4.8,1687,9,2021-01-12,Biographies & Memoirs
Drive-Thru Dreams: A Journey Through the Heart of America's Fast-Food Kingdom,Adam Chandler,4.3,188,9,2019-06-25,Biographies & Memoirs
The Case for Trump,Victor Davis Hanson,4.8,3933,9,2019-03-05,Biographies & Memoirs
MS-13: The Making of America's Most Notorious Gang,Steven S. Dudley,4.0,191,9,2023-04-26,Biographies & Memoirs
"Charisma under Pressure: Joseph Smith, American Prophet, 1831–1839",Dan Vogel,4.8,40,9,2023-05-08,Biographies & Memoirs
The Sassoons: The Great Global Merchants and the Making of an Empire,Joseph Sassoon,4.2,115,9,2022-10-25,Biographies & Memoirs
Lessons: My Path to a Meaningful Life,Gisele Bündchen,4.6,2301,9,2018-10-02,Biographies & Memoirs
Four Friends: Promising Lives Cut Short,William D. Cohan,4.3,311,9,2019-07-09,Biographies & Memoirs
The Husband Hunters: Social Climbing in London and New York,Anne de Courcy,4.1,841,9,2017-06-01,Biographies & Memoirs
Old Lady on the Trail: Triple Crown at 76,Mary E Davison,4.4,1233,9,2018-10-22,Biographies & Memoirs
Damn Lucky: One Man's Courage During the Bloodiest Military Campaign in Aviation History,Kevin Maurer,4.7,396,9,2022-04-19,Biographies & Memoirs
Rigged: The Incredible True Story of the Whistleblowers Jailed after Exposing the Rotten Heart of the Financial System,Andy Verity,4.8,66,9,2023-06-01,Biographies & Memoirs
Our Shades Of Black History: Individual Stories From Black Men & Women From Moments In Time,Anita Renee Blue,5.0,14,9,2023-09-21,Biographies & Memoirs
Barking to the Choir: The Power of Radical Kinship,Gregory Boyle,4.8,1734,9,2017-11-14,Biographies & Memoirs
Sunshine Girl: An Unexpected Life,Julianna Margulies,4.6,1407,9,2021-05-04,Biographies & Memoirs
Chasing Me to My Grave: An Artist's Memoir of the Jim Crow South,Erin I. Kelly,4.7,258,9,2021-09-07,Biographies & Memoirs
"Butterfly: From Refugee to Olympian - My Story of Rescue, Hope, and Triumph",Yusra Mardini,4.6,545,9,2018-05-15,Biographies & Memoirs
